chr	boundary_idx	boundary_w	boundary_bp	boundary_score	boundary_W	boundary_offset	right_frac_blue	left_frac_blue	right_max_z	left_max_z	right_first_red	left_first_red	right_n_finite	left_n_finite	right_ray_curve	left_ray_curve	perp_status	cross_z_W5	cross_z_W22	cross_z_W43	cross_z_W86	cross_z_W172	cross_z_W301	grow_max_z	grow_largest_W	grow_z_at_largest	resolved_real_max	resolved_fake_min	grow_status	validation_status
C_gar_LG28	C_gar_LG28_d17L1_b0011	2030	10927904	3.21588678639886	5	5	1	0	-0.491743236353212	0.826277792401801		2	20	20	-0.8,-0.5,-2.5,-4.0,-3.6,-3.4,-3.1,-2.9,-2.6,-2.6,-2.4	+0.4,+0.7,+0.8,+0.8,+0.8,+0.8,+0.8,+0.6,+0.8,+0.8,+0.8	DECAYS	-3.21588678639886	-1.939004184849	-1.20349267506086	-0.764231052540387	-0.811662863843377	-0.702424402771863	-0.702424402771863	301	-0.702424402771863	-0.613908882619477	0.1	REAL	STABLE_BLUE
C_gar_LG28	C_gar_LG28_d17L1_b0012	2278	11798837	4.61304172795842	5	5	0.95	0.1	0.433717532991219	0.716158602696728		1	20	20	+0.4,-0.3,-4.1,-5.4,-4.7,-4.2,-4.1,-3.9,-3.7,-3.8,-2.5	+0.6,-0.4,+0.0,+0.1,+0.4,+0.2,+0.6,+0.4,+0.5,+0.4,+0.5	DECAYS	-4.61304172795842	-2.76425992630689	-1.85757310607087	-1.32655782588036	-0.895039359785868	-0.600890309916528	-0.600890309916528	301	-0.600890309916528	-0.613908882619477	0.1	MARGINAL	MARGINAL
C_gar_LG28	C_gar_LG28_d17L1_b0013	2692	13220477	2.59804932853041	5	5	0.9	0	0.750915542278867	0.843882004618294	1	1	20	20	+0.8,+0.7,-1.7,-3.1,-3.0,-2.1,-2.0,-1.6,-1.5,-1.3,-1.8	+0.8,+0.7,+0.8,+0.8,+0.8,+0.8,+0.8,+0.8,+0.8,+0.8,+0.8	DECAYS	-2.59804932853041	-1.56939093565069	-1.20146714986883	-0.829707998466948	-0.796587394827735	-0.485329132379965	-0.485329132379965	301	-0.485329132379965	-0.613908882619477	0.1	MARGINAL	MARGINAL
C_gar_LG28	C_gar_LG28_d17L1_b0014	3136	14741351	3.8565496213326	5	5	0.9	0	0.559744842501363	0.815795238067007	2	1	20	20	+0.4,+0.6,-4.3,-4.8,-4.3,-3.7,-3.6,-3.4,-3.1,-2.9,-2.8	+0.6,+0.8,+0.8,+0.3,+0.5,+0.7,+0.7,+0.8,+0.8,+0.8,+0.8	DECAYS	-3.8565496213326	-2.26578003295501	-1.43887629694856	-0.839855524409193	-1.32745010681487	-0.85345833777929	-0.839855524409193	301	-0.85345833777929	-0.613908882619477	0.1	REAL	STABLE_BLUE
C_gar_LG28	C_gar_LG28_d17L1_b0015	3222	15077986	7.97656819195245	5	5	1	0	-0.606907549090403	0.655895797094178		1	20	20	-0.6,-1.1,-9.5,-8.7,-9.4,-7.7,-7.6,-6.8,-6.7,-6.3,-7.0	+0.7,+0.4,+0.5,+0.5,+0.6,+0.6,+0.5,+0.6,+0.6,+0.6,+0.5	DECAYS	-7.97656819195245	-5.17925847844891	-3.99169957660984	-2.7382995672233	-1.68156426738445	-0.892220300602077	-0.892220300602077	301	-0.892220300602077	-0.613908882619477	0.1	REAL	STABLE_BLUE
C_gar_LG28	C_gar_LG28_d17L1_b0016	3223	15080008	7.97656819195245	5	5	1	0.1	-0.663000757171228	0.767021354028405		20	20	20	-0.7,-9.6,-10.6,-9.1,-8.4,-7.3,-7.1,-6.6,-6.2,-6.3,-6.5	-0.6,-0.2,+0.0,+0.2,+0.4,+0.5,+0.4,+0.3,+0.3,+0.4,+0.8	MARGINAL	-7.97656819195245	-5.23776863735897	-4.03092129344626	-2.74852085930687	-1.67499775358768	-0.887740607600469	-0.887740607600469	301	-0.887740607600469	-0.613908882619477	0.1	REAL	STABLE_BLUE
C_gar_LG28	C_gar_LG28_d17L1_b0017	3489	16302356	2.54770188984678	5	5	0.85	0.65	0.677470585142348	0.723551734571413	16	2	20	20	-0.6,-3.6,-2.9,-3.6,-2.8,-2.6,-1.3,+0.1,+0.7,-0.1,-0.1	+0.1,+0.5,-0.6,-0.7,+0.1,-0.9,-0.9,-0.7,-0.1,+0.3,+0.7	DECAYS	-2.54770188984678	0.219171500106526	0.275005726808571	0.515894653798033	1.13414530307052	1.50927987243471	1.50927987243471	301	1.50927987243471	-0.613908882619477	0.1	FAKE	DECAYS
C_gar_LG28	C_gar_LG28_d17L1_b0018	3546	16485996	2.91443654263271	5	5	0.8	0.55	0.380748577001906	0.363243175472233			20	20	+0.2,-0.5,-1.9,-3.6,-3.0,-2.0,-0.5,+0.3,-0.3,-1.8,-1.6	-0.2,-0.6,+0.0,-1.3,-1.6,-1.2,-0.4,+0.1,+0.3,+0.4,+0.0	MARGINAL	-2.91443654263271	-0.241380413187638	0.334070909525837	0.727854766790579	1.17116026810059	1.58082820799993	1.58082820799993	301	1.58082820799993	-0.613908882619477	0.1	FAKE	DECAYS
C_gar_LG28	C_gar_LG28_d17L1_b0019	3658	16972937	2.1467322999492	5	5	0.95	0.85	0.3326628696761	0.711198576848137		2	20	20	-0.4,-1.0,-0.3,-2.4,-2.8,-1.6,-0.8,-0.7,-0.5,-0.2,-0.4	-0.2,+0.6,+0.7,-1.2,-2.0,-1.3,-1.2,-0.3,-1.0,-1.2,-0.9	DECAYS	-2.1467322999492	0.229362813965487	0.411973597550758	0.713221509027596	1.04234448414543	1.41682359716195	1.41682359716195	301	1.41682359716195	-0.613908882619477	0.1	FAKE	DECAYS
C_gar_LG28	C_gar_LG28_d17L1_b0020	3703	17100313	2.33729016332784	5	5	0.95	0.85	0.135768356831721	0.533150536614401		5	20	20	-1.8,-1.7,-2.1,-2.1,-2.4,-1.0,+0.1,-0.3,-2.3,-2.2,-1.8	-0.5,-1.6,+0.2,+0.3,-0.3,-0.4,-1.5,-2.0,-0.9,-0.5,-0.3	DECAYS	-2.33729016332784	-0.0988941245902146	0.178638328295186	0.464273532333589	0.852409167905818	1.18177559832071	1.18177559832071	301	1.18177559832071	-0.613908882619477	0.1	FAKE	DECAYS
C_gar_LG28	C_gar_LG28_d17L1_b0021	3747	17265623	2.06025907307254	5	5	0.8	0.65	0.535022503912519	0.690472579712647	14	4	20	20	-0.4,+0.2,-1.1,-2.1,-2.0,-1.8,-0.1,+0.5,-0.7,-1.5,-1.8	-0.1,+0.1,+0.7,+0.5,-0.5,-1.7,-1.4,-0.8,+0.0,+0.3,-0.0	DECAYS	-2.06025907307254	-0.243025904751132	0.306610922138296	0.248486152470072	0.688179718447573	0.815660835512507	0.815660835512507	301	0.815660835512507	-0.613908882619477	0.1	FAKE	DECAYS
C_gar_LG28	C_gar_LG28_d17L1_b0022	3748	17268616	2.06025907307254	5	5	0.9	0.65	0.195610684089706	0.799431928020884		2	20	20	-1.3,-2.1,-1.8,-3.0,-2.5,-1.9,-0.3,+0.0,-1.6,-2.0,-1.9	-0.4,+0.6,+0.8,+0.7,-0.4,-1.5,-2.0,-1.7,-0.3,-0.3,-0.3	DECAYS	-2.06025907307254	-0.286076696404144	0.313333374682727	0.24158258075846	0.684711151432955	0.806573627637806	0.806573627637806	301	0.806573627637806	-0.613908882619477	0.1	FAKE	DECAYS
C_gar_LG28	C_gar_LG28_d17L1_b0023	3805	17448045	2.78510453082341	5	5	1	0.45	-0.410810743602885	0.570355002746047		11	20	20	-1.4,-1.0,-0.6,-1.4,-2.0,-2.0,-1.3,-1.0,-0.9,-1.0,-1.0	-3.2,-3.1,-1.9,-1.2,-0.5,+0.3,+0.6,+0.6,+0.4,+0.3,+0.6	MARGINAL	-2.78510453082341	-0.985612069173037	-0.293519943201827	0.183346969763936	0.528500184126026	0.291782499992051	0.528500184126026	301	0.291782499992051	-0.613908882619477	0.1	FAKE	DECAYS
C_gar_LG28	C_gar_LG28_d17L1_b0024	3967	17981618	7.24547311662797	5	5	0.95	0.8	0.0877430708613731	0.47624028102118			20	20	-0.8,-7.3,+0.1,-1.7,-6.3,-6.1,-4.7,-3.6,-4.4,-4.4,-4.2	-3.4,-5.2,-2.5,-1.3,-0.8,-0.7,-1.4,-0.6,-0.2,+0.3,+0.3	STABLE_BLUE	-7.24547311662797	-4.20449290774984	-2.65167337874451	-1.59238564125625	-0.706507786170015	-0.213622703534835	-0.213622703534835	301	-0.213622703534835	-0.613908882619477	0.1	MARGINAL	MARGINAL
